ID,Recognition Number,Organisation Acronym,Organisation Name,Recognition Permission Type,Qualification Type,Level,Sector Subject Area,Apprenticeship Standard Code,Apprenticeship Standard Name,Technical Qualification Subject,Qualification Description,Start Date
12576,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",14.2 Preparation for work,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12577,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",15.1 Accounting and finance,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12578,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",15.2 Administration,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12579,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",15.3 Business management,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12580,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",15.4 Marketing and sales,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12581,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,"Entry Level-Entry 1,2,3",15.5 Law and legal services,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12582,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,01.1 Medicine and Dentistry,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12583,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,01.2 Nursing and subjects and vocations allied to medicine,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12584,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,01.3 Health and social care,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12585,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,01.4 Public services,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12586,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,01.5 Child development and well-being,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12587,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,02.1 Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12588,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,02.2 Mathematics and statistics,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12589,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,03.1 Agriculture,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12590,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,03.2 Horticulture and forestry,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12591,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,03.3 Animal care and veterinary science,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12592,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,03.4 Environmental conservation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12593,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,04.1 Engineering,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12594,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,04.2 Manufacturing technologies,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12595,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,04.3 Transportation operations and maintenance,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12596,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,05.1 Architecture,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12597,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,05.2 Building and construction,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12598,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,"05.3 Urban, rural and regional planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12599,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,06.1 ICT practitioners,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12600,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,06.2 ICT for users,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12601,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,07.1 Retailing and wholesaling,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12602,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,07.2 Warehousing and distribution,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12603,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,07.3 Service enterprises,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
